Date,Natural_Gas,Crude_oil,Bitcoin,Ethereum,Nasdaq100,Apple,Tesla,Microsoft,Silver,Google,Nvidia,Berkshire,Netflix,Amazon,Meta,Gold
17-05-2023,139260,273710,58140,376260,254550000,57950000,125470000,24320000,180,33320000,43250000,6000,3960000,65660000,21140000,10
16-05-2023,135430,232330,45290,325770,209970000,42110000,98290000,26730000,180,45040000,44940000,6630,3330000,71470000,18110000,50
15-05-2023,142750,259010,53270,405840,200430000,37180000,105590000,16290000,170,36130000,29300000,7340,3650000,52750000,20650000,0
12/5/2023,131020,275440,87490,598870,223440000,45530000,157850000,19770000,280,41100000,27420000,5150,6080000,49850000,16140000,220500
11/5/2023,89130,365890,62850,548420,245640000,49510000,103890000,31680000,360,78900000,32210000,5010,8030000,74930000,20380000,296980
10/5/2023,126490,351510,91450,685110,286100000,53720000,119840000,30080000,260,63150000,36940000,6010,4290000,78630000,18700000,260810
9/5/2023,134530,317490,49750,318790,232390000,45330000,88970000,21340000,45380,36360000,31490000,5150,5540000,44090000,16830000,199700
8/5/2023,125350,290080,85720,667820,211960000,55960000,112250000,21320000,280,26510000,34500000,7210,5490000,49430000,14950000,182210
5/5/2023,120690,330590,74520,589050,265000000,113450000,107610000,28200000,150,26640000,36150000,5750,3990000,56950000,26910000,283300
4/5/2023,113280,412500,53800,372690,245780000,70380000,95110000,22200000,350,23320000,31940000,5120,3870000,44700000,17790000,311000
3/5/2023,130330,490520,81220,489660,257600000,59440000,119730000,22160000,180,21530000,38100000,5160,5040000,64630000,33950000,229670
2/5/2023,127230,417820,65330,391270,249110000,48430000,128260000,26400000,180,31000000,40270000,5690,4320000,73470000,23170000,245640
1/5/2023,108990,215020,84360,475920,211620000,49390000,109020000,21250000,170,25610000,56620000,7430,5320000,73180000,29140000,173020
28-04-2023,176420,328400,69880,408450,300700000,55280000,122520000,36470000,19880,36140000,29220000,5440,4230000,130720000,39180000,172450
27-04-2023,105220,345880,121630,771480,319310000,64220000,127020000,46210000,21430,49770000,37430000,4720,5600000,129440000,70790000,203900
26-04-2023,2410,497780,164310,958230,292220000,44110000,153360000,64480000,18980,53140000,40450000,4810,4610000,71820000,35220000,620
25-04-2023,66130,361650,65310,491980,261530000,48170000,122000000,40230000,14040,42170000,36760000,4900,5380000,61690000,18610000,850
24-04-2023,56320,306720,66740,480280,199010000,38990000,140010000,26510000,23211,23320000,32650000,6090,5570000,68610000,15750000,540
21-04-2023,82960,291110,98720,769940,236550000,58340000,123540000,21680000,19880,25800000,34510000,4830,6350000,86770000,17670000,620
20-04-2023,115590,24990,95450,665650,261520000,52460000,210970000,23240000,21430,27820000,42770000,4580,9950000,57700000,16430000,420
19-04-2023,147570,78310,111270,855360,196770000,47240000,125730000,17080000,18980,20850000,35140000,4600,22080000,58150000,15900000,920
18-04-2023,120610,96290,76580,437100,198420000,48410000,92070000,20100000,14040,26480000,60270000,4980,13890000,39410000,12210000,220
17-04-2023,191440,217050,71900,448140,200780000,41520000,116660000,23840000,64630,37570000,32150000,6720,6140000,39920000,15410000,550
14-04-2023,226790,275130,98380,957030,207400000,49390000,96440000,20990000,94540,26580000,39570000,5820,5350000,51450000,21590000,720
13-04-2023,224380,261230,65870,721560,230790000,67160000,112930000,24120000,75420,24780000,35220000,5510,7380000,67360000,23230000,1040
12/4/2023,247320,356130,78690,669430,236480000,49400000,150260000,27400000,89020,24370000,44350000,5140,3940000,56350000,18970000,170
11/4/2023,220670,309680,89380,428260,206130000,46310000,115770000,27200000,54830,26230000,30230000,4740,3990000,60120000,16350000,70
10/4/2023,256800,264910,85730,457410,197340000,47030000,142150000,23030000,47960,27020000,37980000,7210,2650000,37000000,15840000,650
6/4/2023,189060,259520,51290,420800,229510000,45390000,123860000,29770000,49820,48710000,39770000,5100,4660000,43810000,26100000,490
5/4/2023,147110,254970,77320,583840,247240000,51300000,133880000,22000000,66170,27660000,50330000,5100,4120000,44760000,19330000,530
